USRegion,state,X,Y,H,Bass_WeightLbs,year,angler
South East,Alabama,0,10,10,16.5,1987,Burgin
West,Arizona,0,20,20,16.48,1997,White
South East,Arkansas,0,30,30,16.5,1976,Mardis
West,California,0,40,40,21.75,1991,Arujo
West,Colorado,0,50,50,11.38,1997,Edwards
North East,Connecticut,0,60,60,12.88,1905,Domurat
North East,Delaware,0,70,70,11.1,2016,Klein
South East,Florida,0,80,80,17.27,1986,Berry
South East,Georgia,0,90,90,22.25,1932,Perry
Outlier,Hawaii,0,100,100,9.63,1992,Broyles
West,Idaho,0,110,110,10.94,2024,Taylor
Midwest,Illinois,0,120,120,13.06,1976,Walbel
Midwest,Indiana,0,130,130,14.75,1991,Schultz
Midwest,Iowa,0,140,140,10.75,1984,Zar
Midwest,Kansas,0,150,150,11.8,2008,Hallam
South East,Kentucky,0,160,160,14.59,2019,Ward
South East,Louisiana,0,170,170,15.97,1905,Wiggins
North East,Maine,0,180,180,11.63,1905,Kamp
North East,Maryland,0,190,190,11.38,2013,Lambert
North East,Massachusetts,0,200,200,15.5,1975,Bolonis
Midwest,Michigan,0,210,210,11.94,1959,Smith
Midwest,Minnesota,0,220,220,8.94,2005,Raveling
South East,Mississippi,0,230,230,11.62,1992,Denny
Midwest,Missouri,0,240,240,13.88,1961,Bushong
West,Montana,0,250,250,9.58,2021,Wright
Midwest,Nebraska,0,260,260,10.69,1965,Sr.
West,Nevada,0,270,270,12,1905,Geary
North East,New Hampshire,0,280,280,10.5,1905,Bullpit
North East,New Jersey,0,290,290,10.88,1905,Eisele
South West,New Mexico,0,300,300,15.81,1995,Estrada
North East,New York,0,310,310,11.25,1987,Higbie
South East,North Carolina,0,320,320,15.88,1991,Wofford
Midwest,North Dakota,0,330,330,8.5,1983,Rixen
Midwest,Ohio,0,340,340,13.13,1976,Landsberger
South West,Oklahoma,0,350,350,14.86,2013,Miller
West,Oregon,0,360,360,12.1,1905,Hastings
North East,Pennsylvania,0,370,370,11.19,1905,Shade
North East,Rhode Island,0,380,380,10.38,1991,Finamor
South East,South Carolina,0,390,390,16.13,1949,Cummunings
Midwest,South Dakota,0,400,400,9.31,2020,Dunham
South East,Tennessee,0,410,410,15.19,2015,Keen
South West,Texas,0,420,420,18.18,1992,Clair
West,Utah,0,430,430,10.13,1905,Lamanna
North East,Vermont,0,440,440,10.25,2024,
South East,Virginia,0,450,450,16.25,1985,Tate
West,Washington,0,460,460,12.53,2016,Evans
South East,West Virginia,0,470,470,12.28,1905,Heeter
Midwest,Wisconsin,0,480,480,11.19,1940,Milkowski
